num,dep,arr,fleet,time,airline
AY91 (1),EFHK,ZUCK,A330-300,8.3,Finnair
AY8 (1),EFHK,KMIA,A330-300,11,Finnair
AY11,EFHK,KSFO,A330-300,11,Finnair
AY1971 (2),EFHK,OMDB,A350-900,5.2,Finnair
AY73 (1),EFHK,RJAA,A340-600,9.2,Finnair
AY41 (1),EFHK,RKSI,A340-600,8.2,Finnair
AY99 (1),EFHK,VHHH,A350-900,9,Finnair
AY141 (2),EFHK,VTBS,A340-600,9.4,Finnair
AY85 (1),EFHK,ZBAA,A330-300,7.3,Finnair
AY81 (1),EFHK,ZBAD,A330-300,8.3,Finnair
AY97,EFHK,ZGGG,A350-900,9.3,Finnair
AY57 (2),EFHK,ZSPD,A340-600,8.2,Finnair
AY57 (3),EFHK,ZSPD,A350-900,8.2,Finnair
AY91 (1),EFHK,ZUCK,A330-300,8.3,Finnair
AY91 (1),ZUCK,EFHK,A330-300,8.3,Finnair
AY8 (1),KMIA,EFHK,A330-300,11,Finnair
AY11,KSFO,EFHK,A330-300,11,Finnair
AY1971 (2),OMDB,EFHK,A350-900,5.2,Finnair
AY73 (1),RJAA,EFHK,A340-600,9.2,Finnair
AY41 (1),RKSI,EFHK,A340-600,8.2,Finnair
AY99 (1),VHHH,EFHK,A350-900,9,Finnair
AY141 (2),VTBS,EFHK,A340-600,9.4,Finnair
AY85 (1),ZBAA,EFHK,A330-300,7.3,Finnair
AY81 (1),ZBAD,EFHK,A330-300,8.3,Finnair
AY97,ZGGG,EFHK,A350-900,9.3,Finnair
AY57 (2),ZSPD,EFHK,A340-600,8.2,Finnair
AY57 (3),ZSPD,EFHK,A350-900,8.2,Finnair
AY91 (1),ZUCK,EFHK,A330-300,8.3,Finnair